# This file was produced by bcftools (1.10.2-128-gd1b74cd+htslib-1.10.2-137-g34ba6c7), the command line was:
# 	 bcftools gtcheck  all_strains_biallelic_SNPs_no_missing.recode.vcf.gz
# and the working directory was:
# 	 /Users/clairedubin/cocci/popgen/popgen_paper/isolate_and_pop_info
#
INFO	Time required to process one record .. 0.000013 seconds
# DC, discordance:
#     - query sample
#     - genotyped sample
#     - discordance (number of mismatches; smaller is better)
#     - negative log of HWE probability at matching sites (rare genotypes mataches are more informative, bigger is better)
#     - number of sites compared (bigger is better)
#DC	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]-log P(HWE)	[6]Number of sites compared
DC	Tucson_22	Tucson_20	3.143068e+05	1.569065e+06	262428
DC	Tucson_22	Tucson_21	2.931928e+05	1.574765e+06	262428
DC	Tucson_23	Tucson_1	2.948961e+05	1.575403e+06	262428
DC	Tucson_23	Tucson_2	3.319150e+05	1.567065e+06	262428
DC	Tucson_23	Tucson_3	2.951635e+05	1.580194e+06	262428
DC	Tucson_23	Tucson_4	2.951239e+05	1.580227e+06	262428
DC	Tucson_23	Tucson_5	3.033338e+05	1.565098e+06	262428
DC	Tucson_23	Tucson_6	3.114447e+05	1.571022e+06	262428
DC	Tucson_23	Tucson_7	3.575351e+05	1.556010e+06	262428
DC	Tucson_23	Tucson_8	2.893502e+05	1.575552e+06	262428
DC	Tucson_23	Tucson_9	2.873993e+05	1.573356e+06	262428
DC	Tucson_23	Tucson_10	2.805659e+05	1.570545e+06	262428
DC	Tucson_23	Tucson_11	3.016800e+05	1.567178e+06	262428
DC	Tucson_23	Tucson_12	2.727225e+05	1.578418e+06	262428
DC	Tucson_23	Tucson_13	2.669191e+05	1.581453e+06	262428
DC	Tucson_23	Tucson_14	2.608186e+05	1.581101e+06	262428
DC	Tucson_23	Tucson_15	2.905188e+05	1.573506e+06	262428
DC	Tucson_23	Tucson_16	3.128609e+05	1.572173e+06	262428
DC	Tucson_23	Tucson_17	3.035517e+05	1.573324e+06	262428
DC	Tucson_23	Tucson_18	2.842104e+05	1.580109e+06	262428
DC	Tucson_23	Tucson_19	2.690978e+05	1.580255e+06	262428
DC	Tucson_23	Tucson_20	3.169510e+05	1.569447e+06	262428
DC	Tucson_23	Tucson_21	2.684244e+05	1.580200e+06	262428
DC	Tucson_23	Tucson_22	2.875181e+05	1.574625e+06	262428
DC	San_Antonio_1	Tucson_1	3.468790e+05	1.565897e+06	262428
DC	San_Antonio_1	Tucson_2	3.673394e+05	1.560198e+06	262428
DC	San_Antonio_1	Tucson_3	3.455223e+05	1.570846e+06	262428
